titles,authors,nums,peoples
b-Boy Zips [08] 年下攻特集号,新田祐克、桜城やや、奥田七緒、安曇もか、本仁戻、あおぎり尊、高永ひなこ、松本テマリ/ビブロス/2004-3-15/JPY890,6.6,(27人评价)
活受罪、長相守,tangstory/木更工作室/2016-8-31,8.9,(1659人评价)
纸飞机,潭石,7.7,(709人评价)
唇枪,金十四钗/96,8.2,(1603人评价)
大哥,Priest/上海人民美术出版社/2016-3-1/CNY32.00,8.5,(3312人评价)
犯罪心理1,长洱/江苏凤凰文艺出版社/2018-3-31/36.80,7.7,(1590人评价)
麒麟之与子同袍,桔子樹/宇河文化/2011-6-10/NT280,9.3,(4340人评价)
犯罪心理2,长洱/江苏凤凰文艺出版社/2018-6-10/36.80元,7.8,(1200人评价)
灰塔笔记,空灯流远/2014-12-14/50,8.8,(186人评价)
小白杨（1）,水千丞/威向/2015-2-11/NT240,7.7,(1493人评价)
针锋对决（上）,水千丞/威向/2014-9-10/NT240,7.4,(1512人评价)
撒野 三,巫哲、長樂(繪)/葭霏文創/2018-4/NTD330,8.9,(624人评价)
天官賜福 二,墨香銅臭/平心出版/2017-12/NTD330,7.7,(1340人评价)
AWM绝地求生 下册,漫漫何其多著/北京时代华文书局/2019-4/39.8元,7.6,(628人评价)
附加遗产 上,水千丞/广东旅游出版社/2019-1/36.8元,6.3,(507人评价)
肉體還債完美計畫,にやま/尖端/2019-10-1/194NTD,6.9,(102人评价)
山河表里,Priest/云南美术出版社/2015-3-1/CNY50.00,8.0,(3763人评价)
鳴鳥不飛(01),ヨネダコウ/尖端/2013-11-8/NT130,9.3,(1248人评价)
窮鼠はチーズの夢を見る,水城せとな/小学館クリエイティブ/2006-1-26/JPY530,9.2,(1496人评价)
千秋,梦溪石/长江文艺出版社/2016-10,7.7,(1411人评价)
残次品,Preist/江苏凤凰文艺出版社/2018-12/85.00元,8.5,(945人评价)
地球上线,莫晨欢/天津人民出版社/2020-3/49.8元,7.5,(195人评价)
如意蛋,大风刮过/新世界出版社/2012-7/29.00元,7.9,(2735人评价)
我喜歡你的信息素 上,引路星/沒譜文化出版社/2020-2/NTD350,7.0,(291人评价)
纨绔,公子欢喜/龙马/2007-06-22,8.3,(5444人评价)
性の劇薬,水田ゆき/ジュネット/2019-2-19/JPY700,5.8,(158人评价)
寒武再临,水千丞/百花洲文艺出版社/2014-12/26.80元,8.1,(1519人评价)
孕男~我在男校懷孕了 2,真澄弥/東立/NTD130,,(29人评价)
万花筒·一榭,西子绪/江苏凤凰文艺出版社/39.8元,7.5,(277人评价)
又一春,大风刮过/S.A/2006-06-28,8.3,(6972人评价)
男子宿舍的玩具,菊の助/黃依齡/東立/2016-2-24/NT130,6.9,(117人评价)
壁穴マネーホール,中川リィナ/一迅社/2017-8-16/JPY734,5.8,(41人评价)
艳鬼,公子欢喜/龙马文化/2008年7月8日/180,8.4,(4666人评价)
桐花中路私立协济医院怪谈,南琅/上海人民出版社/2014-5/35.00元,7.7,(1073人评价)
俺の嫌いなつがい様,桐式トキコ/三交社/2016-6-25/JPY702,6.9,(56人评价)
禁じられた戯び,山藍紫姫子、蘭丸/花丸文庫black/2013-3/690,8.5,(61人评价)
偽裝學渣,木瓜黃/威向/2019-5-30/NTD380,7.5,(974人评价)
劣情love cross,松吉アコ/東立/2018-11-7/NTD130,7.9,(18人评价)
情人萬萬歲,千岁ぴよこ/尊龙出版社/NT.100,6.8,(38人评价)
天涯客（下册）,Priest/蘊藏文化股份有限公司/2014-3/NTD240,8.1,(2080人评价)
ケダモノアラシ,黒井モリー/海王社/2018-3-10/JPY680,5.9,(30人评价)
魔道祖師 一,墨香銅臭、千二百(繪)/平心出版/2019-10-3/TWD330,7.9,(180人评价)
犯罪心理3,长洱/江苏凤凰文艺出版社/2018-10-30/36.8,7.7,(506人评价)
当年万里觅封侯,漫漫何其多/江苏凤凰文艺出版社,7.4,(208人评价)
职业替身（上）,水千丞/威向/2013-11-13/NT240,7.1,(1085人评价)
六爻,Priest/北京时代华文书局/2018-5-1/55.00元,8.5,(1422人评价)
社交温度,卡比丘/威向/2018-10-31/NTD300,7.1,(768人评价)
桃花债 上,大风刮过/威向/2008-02-20,8.5,(6029人评价)
暴愛友情♥,ずんだ餅粉/東立/2018-1-23/NTD130,6.2,(47人评价)
外出危機,おわる/李芝慧/東立/2016-12-21/NT130,7.2,(158人评价)
追尾,潭石/ViaLactea/2019/CAD34.99,8.2,(87人评价)
ドラッグレス・セックス 辰見と戌井,エンゾウ/竹書房/2018-8-25/JPY734,8.7,(117人评价)
19天(1),old先/東立出版社/2018-10-19/NTD360,8.9,(627人评价)
末日曙光,非天夜翔/湖南人民出版社/2013-6/25.80元,8.7,(1678人评价)
陷落爱情,高座朗,,(90人评价)
沉舟(1),楚寒衣青/凌雲工作室/2014-12/NT460,8.0,(637人评价)
ヤギとオオカミの発情事情,ときしば/三交社/2019-1-25/JPY745,8.4,(64人评价)
戀愛暴君 1,高永ひなこ/台湾东贩/2004/NT.120,8.8,(1941人评价)
将军令,偷偷写文,8.7,(266人评价)
鬼子の夢,丸木文華、笠井あゆみ/白泉社/2013-11-20/JPY710,7.8,(53人评价)
犯罪心理4,长洱/江苏凤凰文艺出版社/2018-10-25/36.80元,7.6,(418人评价)
经久,静水边/江苏凤凰文艺出版社/2019-9/39.80元,8.2,(174人评价)
表弟凶猛,巫哲、左萱/凌雲工作室/2013-8/NTD700,6.4,(324人评价)
六爻,Priest/北京时代华文书局有限公司/2019-6/55.00元,8.6,(330人评价)
大璫 (上),童子/威向/2017-7-19/NT280,8.7,(1149人评价)
やたもも,はらだ/竹書房/2014-8-16/JPY710,8.7,(494人评价)
解藥,巫哲、秘密報社/平心工作室/2019-2-14/NTD1320,7.8,(874人评价)
成功者的肖像,天籁纸鸢/先见出版公司/1993-06-22/180.00,9.1,(2495人评价)
四代目．大和辰之,スカーレット．ベリ子/江荷偲/東立/2016-4-17,7.6,(244人评价)
夜色深处,淮上,6.8,(320人评价)
我的一个朋友,孔恰/留守番工作室/2013-5/78.00元,8.7,(946人评价)
兄弟限定! 第1卷,如月弘鹰/角川书店/2005年4月1日/560日元,7.4,(343人评价)
我开动物园那些年 完结篇,拉棉花糖的兔子/新星出版社/2020-5-26/49.80元,8.8,(85人评价)
S.C.I.謎案集,耳雅/平心工作室/2016-10-27/NTD300元,6.5,(512人评价)
Life 線上的我們,常倉三矢/東販/2018-8/NTD130,8.0,(193人评价)
魔道祖師,墨香銅臭/平心出版,7.4,(963人评价)
一受封疆,殿前欢/黑羽/2003-5-26/NTD230,7.4,(900人评价)
きみはもう噛めない,あさじまルイ/リブレ/2019-4-10/JPY712,7.0,(28人评价)
迪奧先生 VOL.02,綠野千鶴/威向有限公司/2018-10-31/NTD250,7.3,(581人评价)
當年萬里覓封侯 上,漫漫何其多/威向/2019-9/NTD380,7.3,(647人评价)
刺青,不問三九/威向/2019-9/NTD380,7.5,(617人评价)
我喜歡你的信息素 下,引路星/沒譜文化出版社/2020-2/NTD350,7.4,(193人评价)
撒野 四,巫哲、長樂(繪)/葭霏文創/2018-4/NTD330,9.1,(538人评价)
大璫 (下),童子/威向/2017-7-19/NT280,8.8,(808人评价)
圖靈密碼,非天夜翔、PSD/平心工作室/2019-1-10/NTD990,7.4,(691人评价)
優しいパンツの脱がせ方,まさき茉生/一迅社/2019-1-15/745円,6.9,(75人评价)
殺戮秀 1,狐狸、生铁落、FOX^^/威向/2019-1-31/NTD360,8.8,(292人评价)
捨てないでマイヒーロー,ひもだQ/リブレ/2017-12-9/JPY690,7.5,(109人评价)
魔道祖師番外集,墨香銅臭、千二百(繪)/平心出版/2020-3-16/TWD220,8.4,(73人评价)
君有疾否,如似我闻/槐安工作室/2020-5/HKD195,7.8,(254人评价)
無節操☆Bitch社 1 (限定版),おげれつたなか/東立/2016-8-19/NTD140,8.1,(259人评价)
北城天街,非天夜翔/木更工作室/2016-2/NT680.00,8.7,(1442人评价)
相见欢 上卷,非天夜翔/长江出版社/2017-3/38.00元,8.6,(1008人评价)
落池（上）,余酲/沒譜工作室/2019-9/NT$355,7.4,(206人评价)
落池（下）,余酲/沒譜工作室/2019-9/NT$355,6.6,(130人评价)
東京BABYLON (Vol. 1),CLAMP/劉錦秀/YESCOMICSLIMITED/1994/HK$38,8.6,(11206人评价)
不能动,风弄/威向/2006/02/20/NT180,7.7,(4348人评价)
助理建筑师,羲和清零/世界知识出版社/2017-10/35.00元,8.2,(614人评价)
空降熱搜,顏涼雨、貓樹/平心工作室/2019-2-14/NTD1650,7.5,(384人评价)
撒野 二,巫哲、長樂(繪)/葭霏文創/2018-4/NTD330,8.9,(743人评价)
藍宇,北京同志/東販出版社/2002-1/新台币240元,8.4,(7343人评价)
青龍侍 上,月佩环/威向/2012-8-13/NT190,5.9,(30人评价)
衝動,いさき李果/KADOKAWA/2015-7-1/JPY648,6.2,(43人评价)
无羁,墨香铜臭/四川文艺出版社/2018-12/48.00,8.5,(11574人评价)
蝴蝶的叫喊,薇諾拉/墨扉/2019-11/NTD580,8.5,(77人评价)
犯罪心理5,长洱/江苏凤凰文艺出版社/2018-12/36.8,7.3,(381人评价)
我家戀愛好麻煩,おわる/東立/2017-12-6/NTD140,7.4,(200人评价)
卒業生−春−  ＥＤＧＥＣＯＭＩＸ,中村明日美子/茜新社/2010/1/¥650（本体：¥619）,9.5,(2826人评价)
赤い糸の執行猶予,吉尾アキラ/コアマガジン/2017-1-25/JPY710,6.7,(74人评价)
惡德之褥,中原一也/角川/2013-1-28/160,6.6,(121人评价)
抖S幽魂不讓我睡-02,朱鷺紫羽、ときしば/長鴻/2019-8-2/140NT,7.8,(55人评价)
竹木狼馬,巫哲、蜜琪/凌雲工作室/2015-3/NTD1120,8.2,(428人评价)
设计师,常叁思,8.8,(506人评价)
拥抱春天的罗曼史,新田祐克/远方出版社/2004,8.6,(2211人评价)
哥哥,はらだ/尖端/2018-6-1/NTD150,8.0,(322人评价)
民国遗事1931,尼罗,8.0,(289人评价)
鳴鳥不飛(03),ヨネダコウ/尖端/2015-8-7,9.4,(513人评价)
10 count (第1集),宝井理人/趙秋鳳/東立/2014-8-6/NT$130,8.5,(872人评价)
六爻,Priest/北京时代华文书局/2019-3/55.00元,8.7,(309人评价)
"Ten Years, Exhausted Love",无仪宁死/ViaLactea/2019-3-10/$27.99,6.5,(767人评价)
一生孤注掷温柔,阿堵/听雪夕照轩/2010-5/300,8.7,(1672人评价)
针锋对决（中）,水千丞/威向/2014-9-10/NT240,7.4,(699人评价)
小白杨（5）,水千丞/威向/2015-3-25/NT240,7.2,(458人评价)
我讓最想被擁抱的男人給威脅了 (第2集),桜日梯子/陳姿君/東立/2015-6-12/NT$130,8.0,(158人评价)
誘春,吉田珠姫、笠井あゆみ/二見書房/2015-2-23/JPY710,,(65人评价)
那是不能吃的,小石川あお/晨星/110,7.1,(194人评价)
那個也想做、這個也想要。,文川じみ/東立/2017-6-21/NT130,6.3,(79人评价)
竹木狼马,巫哲/フロンティアワークス/2009-7-28/JPY5091,8.0,(820人评价)
十里红莲艳酒,天籁纸鸢/旺福資訊/2011-2-10,8.1,(1909人评价)
歲月間（上）,靜水邊、yk-u/威向/2015-9-16/NT240,7.8,(370人评价)
金牌助理,非天夜翔/云南美术出版社/2015-9/39.00元,7.4,(683人评价)
鳴鳥不飛(02),ヨネダコウ/藤崎スグル/尖端/2014-7-21/NT$150,9.4,(650人评价)
弁而钗,（明）心月主人/台湾大英百科/2000,8.2,(99人评价)
妖色小周,小周123/倍乐文化/2006-06-17/20.00,8.6,(2204人评价)
魔道祖師 四,墨香銅臭、千二百(繪)/平心出版/2019-10-3/TWD330,8.9,(122人评价)
無節操☆Bitch社 2,おげれつたなか/東立/2017-8-9/NT140,8.4,(205人评价)
臣服（上）,墨青城/威向/2015-1-21/NT220,7.4,(130人评价)
即使如此，依然溫柔地相戀,ヨネダコウ、攻鐵/尖端/2015-7-31/NT150,8.8,(160人评价)
黑貓男友的撒嬌方法,左京亞也/瓜子/長鴻出版社/2014-2/NT140元,8.2,(262人评价)
Ｊの総て ２,中村明日美子/太田出版/2005-5-17/JPY1000,9.4,(1278人评价)
喪病大學 一,顏涼雨、PSD/平心工作室/2018-2-22/NTD330,8.3,(292人评价)
针锋对决（下）,水千丞/威向/2014-9-10/NT240,7.3,(805人评价)
谢长留,菖蒲/三叶草/2004/NT160,8.0,(3506人评价)
年下男友的甜蜜威脅,相葉キョウコ/台灣角川/2016-4-27/NT120,6.7,(47人评价)
麒麟之生死與共,桔子樹/宇河文化出版有限公司/2011-7-5/NT$238,9.4,(2551人评价)
小白杨（2）,水千丞/威向/2015-2-11/NT240,7.9,(595人评价)
無法觸碰的愛,ヨネダコウ/紙屋/尖端/2009-6-6/NT130,9.0,(788人评价)
滿城衣冠 一,金十四釵、七十二變四/葭霏文創/2018-9/NTD300,8.3,(144人评价)
无双·上,梦溪石/中国致公出版社/2019-8-1/38,7.7,(107人评价)
附加遗产-下,水千丞/广东旅游出版社/2019-6/36.80元,6.5,(317人评价)
桃花债(下),大风刮过/威向/2008-02-20,8.5,(3937人评价)
トモダチ以上のこと、シたい。,倉橋トモ/竹書房/2015-11-30/JPY680,7.0,(159人评价)
ロマンティック上等,森世/ふゅーじょんぷろだくと/2015-9-24/JPY729,7.6,(212人评价)
入戏,童子,8.1,(1206人评价)
戀上泳裝學長 (全),佳門サエコ/角川/2012-2-27/120,6.6,(94人评价)
鬼畜眼鏡,TAMAMI、Spray/黄盈琪/角川洲立出版/2008/11/22/NT＄180/HK＄50,7.7,(836人评价)
有種你再撞一下,巫哲、夜襲/凌雲工作室/2014-2/NTD760,7.3,(316人评价)
醉死当涂,薇诺拉/世界知识出版社/2017-4/30.00元,7.6,(558人评价)
鳴鳥不飛(05),ヨネダコウ/尖端/2018-6-15/NTD150,9.7,(332人评价)
白日夢之家,吃素/留守番/NTD680,8.2,(100人评价)
限定男友的攻陷方法,御子柴トミィ/韓珮/東立/2015-7-1/NT130,6.2,(37人评价)
千秋（套装共两册）,梦溪石/长江文艺出版社/2016-10/59.80元,8.3,(408人评价)
嫁入高门的男人,彻夜流香/鲜欢文化,7.5,(607人评价)
小白杨（3）,水千丞/威向/2015-3-25/NT240,7.8,(444人评价)
歧路,脉脉、渥丹/甘肃人民美术出版社/2012-1/26.80元,8.6,(1362人评价)
殺戮秀 3,FOX^^、狐狸、生铁落/威向/2019-1-31/NTD360,8.8,(161人评价)
