titles,authors,nums,peoples
我的皇后（全二册）,谢楼南/北京联合出版公司/2012-5/49.80元,6.7,(226人评价)
薄荷的诱惑,书瑾/河南文艺/2009-3/25.00元,7.0,(1086人评价)
风起青萍：纪念典藏版,皎皎/青岛出版社/2016-9-1/35.00元,6.2,(174人评价)
全美男后宫,逍遥红尘/时代文艺/2011-1/28.80元,7.3,(93人评价)
龙凤,沉筱之/北方妇女儿童出版社/2014-6-30/29.8,6.8,(87人评价)
海棠依舊：知否？知否？應是綠肥紅瘦 卷二,關心則亂/三采/2012-3-30,8.5,(1308人评价)
败絮藏金玉(上),酥油饼/湖南美术出版社/2013-11-20/25.00,8.2,(899人评价)
他，来自火星,饭卡/辽宁教育出版社/2009-10/29.80元,7.9,(2548人评价)
娘娘腔,水千丞/2016,6.3,(1689人评价)
天舞·失落帝都的记忆,杜若/华文出版社/2006-11/20.0,7.5,(674人评价)
海棠依舊：知否？知否？應是綠肥紅瘦卷六 嫣然一笑新妝就，春園海棠花獨妍,關心則亂/三采文化/2012-11-9/NTD240,8.5,(1055人评价)
奥汀的祝福.大结局,天籁纸鸢/文化艺术出版社/2010.07/29.80元,8.0,(1548人评价)
原始再来（上下册）,月下桑/世界知识出版社/2015-4-30/59.6元,8.3,(381人评价)
孤城闭,米兰Lady/新世界出版社/2008-11/22.80元,8.4,(4315人评价)
情与谁共,长着翅膀的大灰狼/国际文化出版公司/2013-4/26.80元,7.1,(877人评价)
失落大陸,多木木多/失落大陸訂製小組/2011-8/NT$200,7.1,(372人评价)
贪欢记,夜幽梦/江苏文艺出版社/2010-1/26.80元,7.0,(459人评价)
微微一笑很傾城,顧漫/尖端出版/2009-9/NT$250,8.0,(804人评价)
南方有乔木,小狐濡尾/中国文联出版社/2015-11/28,7.1,(2553人评价)
祥云朵朵当空飘,九鹭非香/江苏凤凰文艺出版社/2014-9/25.00元,7.6,(1127人评价)
老爷有喜•凤凰劫,随宇而安/珠海出版社/2011-4/18.00元,7.3,(275人评价)
第三支玫瑰,葭菲文创/2019-10/NTD350.00,8.0,(69人评价)
忽而今夏Ⅱ,明前雨后/国际文化出版公司/2006-8/25.00元,8.2,(4154人评价)
天籁纸鸢,天籁纸鸢/时代文艺出版社/2009年11月/28.00元,7.8,(1817人评价)
所愿,长着翅膀的大灰狼/国际文化出版公司/2013-11/26.8,6.5,(303人评价)
万花筒·一榭,西子绪/江苏凤凰文艺出版社/39.8元,7.5,(283人评价)
将进酒,唐酒卿/江苏凤凰文艺出版社/2020-4/68.00（二册）,9.0,(1522人评价)
千金裘,明月珰/江苏凤凰文艺出版社/2015-11/59.80元,6.0,(598人评价)
时光若有张不老的脸,沐清雨/文化艺术出版社/2011-4/28.80元,7.4,(1069人评价)
你是我的小确幸,东奔西顾/百花洲文艺出版社/2017-4/49.80元,7.2,(1725人评价)
木槿花西月锦绣2,海飘雪/作家出版社/2007-07/24.8,7.7,(5510人评价)
司藤,尾鱼/江苏文艺出版社/2015-12/56.50元,8.3,(5584人评价)
少年の孵化する音,由貴香織里/白泉社/1993-10-19/JPY410,8.6,(754人评价)
失憶了別鬧 一,綠野千鶴、狼語/威向/2016-10-12/NT220,6.9,(60人评价)
佳期如梦之海上繁花,匪我思存/新世界出版社/2008-11/25.00元,7.5,(12509人评价)
失憶了別鬧 二,綠野千鶴、狼語/威向/2016-10-12/NT220,6.8,(35人评价)
失憶了別鬧 三,綠野千鶴、狼語/威向/2016-10-12/NT220,6.9,(37人评价)
青眼影沉沉（全两册）,李李翔/长征出版社/2008-09/45.00元,6.6,(916人评价)
归路,墨宝非宝/江苏凤凰文艺出版社/2017-11/35.00元,7.3,(1109人评价)
栀香如酥,雪灵之/２１世纪出版社/2012-11/22.00元,6.6,(164人评价)
妖孽传说,一度君华/山东画报出版社/2012-1/15.80元,6.9,(323人评价)
恍然如梦2,月下箫声/花山文艺出版社/2007-05/20.0,6.6,(767人评价)
宮略,尤四姐/北方妇女儿童出版社/2014-1/59.80元,7.0,(816人评价)
不如我们重新来过,吴沉水/北方文艺出版社/2013-11/29.00元,7.9,(245人评价)
步天歌,煌瑛/长江文艺出版社/2009-12/29.00元,8.2,(814人评价)
凤囚凰,天衣有风/江苏文艺出版社/2014-6/85.00,6.5,(294人评价)
皇后刘黑胖,戈鞅/吉林出版集团有限责任公司/2010-4/25.00元,7.5,(670人评价)
金牌助理(下),非天夜翔、貓樹/平心工作室/2014-12-10/NT300,7.7,(663人评价)
大英雄时代,Priest/北京联合出版公司/2016-2-1/CNY49.80,8.5,(1033人评价)
余生终有雪,狂上加狂/江苏文艺/2016-11/26.80,6.6,(101人评价)
残次品,priest/2017,8.8,(3198人评价)
他站在夏花绚烂里,太后归来/百花洲文艺出版社/2016-1-1/29.80元,7.0,(210人评价)
苏染染追夫记,云葭/江苏凤凰文艺出版社/2016-2/25.00元,8.3,(少于10人评价)
人间烟火,桔子树/江苏文艺出版社/2010-7/26.00元,8.4,(4139人评价)
我开动物园那些年 完结篇,拉棉花糖的兔子/新星出版社/2020-5-26/49.80元,7.2,(89人评价)
女法醫辣手摧夫記·上,清歌一片/藍襪子出版社/2011-12/NT$220元,7.0,(315人评价)
当时明月在,匪我思存/新世界出版社/2008-1/25.00元,6.8,(4591人评价)
时光之城,皎皎/江苏文艺出版社出版/2011-3-1/29.80元,7.1,(1220人评价)
苍耳,乐小米/湖南少年儿童出版社/2010年1月/20.00元,7.2,(2269人评价)
公主貴性（上）,則慕/說頻文化/2012-3-1,8.0,(975人评价)
致遥远的你,地黄饮子/中国文联出版公司/2014-8/25.00元,5.8,(876人评价)
我才懒得爱你,抽风的漠兮/国际文化出版公司/2011-11/25.00元,7.8,(36人评价)
色已成空,曼倩天涯/云南人民出版社/2009-10/28.00元,5.6,(1032人评价)
三千水    上,明月璫/藍襪子出版社/2013-6-18/NTD220,6.9,(147人评价)
哦，这该死的缘,花清晨/江苏文艺出版社/2010-6/25.00元,6.6,(356人评价)
侍妾生涯,卫何早/中国画报出版社/2009-1-1/22.80元,8.4,(132人评价)
异世流放1,易人北/世界知识出版社/2015-4-1/CNY29.80,7.1,(103人评价)
君生我已老,爱爬树的鱼/国际文化出版公司/2010-4/28.00元,7.2,(2420人评价)
醉玲珑（下卷）,十四夜/朝华出版社/2007-12/22.00元,7.8,(7757人评价)
醉玲珑（中卷）,十四夜/朝华出版社/2007-12/22.0,7.7,(6851人评价)
我的鸵鸟先生,含胭/江苏凤凰文艺出版社/2015-8/59.80元,8.3,(2497人评价)
金牌助理(上),非天夜翔、貓樹/平心/2014-12-10/NTD300,7.6,(931人评价)
魅生·妖颜卷,楚惜刀/新世界出版社/2013-3/22.00元,8.5,(4607人评价)
晓梦迷蝶·秋霁Ⅰ锦瑟篇,晚晴风景/花山文艺出版社/2007-02/20.0,7.2,(857人评价)
此心无垠（全2册）,无非由/长江文艺出版社/2008-04/46.0,7.1,(2990人评价)
梨花雪后（套装上下册）,东篱菊隐/百花文艺/2009-4/45.00元,6.0,(484人评价)
纖纖惡女(下),月夜/說頻文化/2013-8-28/NTD250,7.7,(19人评价)
恨相逢之戰國之戀1·初遇清洲城,Vivibear/耕林出版文化事業/2008-10/NT$200,6.9,(91人评价)
我站在桥上看风景,顾西爵/百花洲文艺出版社/2013-6/26.00元,6.7,(2057人评价)
宅女在古代后宫的幸福生活（全2册）,云狐不喜/华文出版社/2008-03/46.0（上、下）,6.9,(1763人评价)
江湖小香风,一度君华/百花洲文艺出版社/2018-10/128.00,7.6,(152人评价)
天下倾歌（大结局）,千叶飞梦/辽宁教育出版社/2009-6/29.80元,7.0,(369人评价)
他来了，请闭眼,丁墨/百花洲文艺出版社/2014-7-1/45.00,7.1,(15719人评价)
將嫁 上下冊(套書),繞梁三日/知翎文化/2013-4-3/NTD480,7.4,(35人评价)
谁的青春仓皇结,安宁/新世界/2010-9/22.00元,6.7,(18人评价)
异世流放2,易人北/世界知识出版社/2015-7-1/29.80,7.9,(48人评价)
迪奧先生 VOL.02,綠野千鶴/威向有限公司/2018-10-31/NTD250,7.3,(587人评价)
有多少爱可以重来,人海中/国际文化/2010-5/26.80元,6.7,(765人评价)
奸相萌女 卷1,姚十六/夢田小筑/2013-9-2/NTD250,7.6,(77人评价)
奸相萌女 卷2,姚十六/夢田小筑/2013-9-2/NTD250,8.1,(40人评价)
水晶般透明,明晓溪/新世界出版社/2004-04/25.00元,6.4,(6929人评价)
女恩师,天如玉/百花洲文艺出版社/2017-8/49.80元,6.3,(121人评价)
烟水遥（上.下册）,唐韫/花城出版社/2009-2/36.00元,6.9,(529人评价)
三救姻缘,笑声/朝华出版社/2008-07/25.0,7.0,(3781人评价)
荆棘花向晚,薄荷枝/湖南少年儿童出版社/2011-4/18.00元,7.5,(288人评价)
心肝,长着翅膀的大灰狼/国际文化出版公司/2012-7/26.80元,7.0,(1808人评价)
空降熱搜,顏涼雨、貓樹/平心工作室/2019-2-14/NTD1650,7.5,(386人评价)
碎玉投珠,北南/青岛出版社/2019-3/30.00,8.4,(1877人评价)
无根攻略,殿前欢/甘肃人民美术出版社/2012-12/36.80元,8.6,(1370人评价)
笙笙在我心,容光/百花洲文艺出版社/2017-6-1/49.8,8.3,(142人评价)
那一瞬的地老天荒,侧影芳华/华文出版社/2008/28.00元,7.5,(791人评价)
金樽幽月,水合/珠海出版社/2008-5-1/46.00元,7.1,(505人评价)
春莺啭,海青拿天鹅/四川文艺出版社/2010-6/29.80元,7.4,(1100人评价)
奔跑的蜗牛,蝶之灵/中国文联出版公司/2009-9/25.00元,7.1,(524人评价)
霓裳,清歌一片/译林出版社/2012-7/28.00元,6.7,(275人评价)
孤芳不自赏,风弄著、九歌绘/中国电影出版社/2007-1-1/40,7.8,(5826人评价)
坏事多磨,那只狐狸/北方妇女儿童出版社/2009-10-1/56.00元,7.9,(2667人评价)
凤血,寐语者/花山文艺出版社/2008-5/25.00元,7.4,(2477人评价)
倾城之恋,灵希/文化艺术出版社/2010-5/25.00元,7.4,(450人评价)
没有烟总有花,未再/上海人民出版社/2010-5/28.00元,7.4,(1317人评价)
苏醒的秘密,随侯珠/百花洲文艺出版社/2017-5/49.80元,6.8,(650人评价)
表妹難為03,朱砂/說頻文化/2014-1-28/NTD250,7.2,(22人评价)
表妹難為01,朱砂/說頻文化/2014-1-15/NTD250,8.1,(57人评价)
表妹難為02,朱砂/說頻文化/2014-1-15/NTD250,7.6,(22人评价)
如果蝸牛有愛情（上+下）,丁墨/知翎文化/2013-11-6/NT$480,7.5,(1185人评价)
如果蝸牛有愛情（上）,丁墨/知翎文化/2013-11-6/NT$240,7.5,(92人评价)
如果蝸牛有愛情（下）,丁墨/知翎文化/2013-11-6/NT$240,7.6,(162人评价)
恨相逢之战国之恋,Vivibear/河南文艺出版社/2007-09/25.0,6.8,(1165人评价)
表妹難為04,朱砂/說頻文化/2014-2-6/NTD250,7.0,(20人评价)
表妹難為05,朱砂/說頻文化/2014-2-19/NTD250,7.2,(21人评价)
表妹難為06,朱砂/說頻文化/2014-2-19/NTD250,7.2,(18人评价)
回眸一笑秋波起,东奔西顾/青岛出版社/2013-8-1/25.00元,7.3,(687人评价)
表妹難為07,朱砂/說頻文化/2014-3-5/NTD250,7.0,(20人评价)
海棠依旧：知否？知否？应是绿肥红瘦（贰）,关心则乱/中国电影出版社/2017-3/29.80元,8.0,(406人评价)
表妹難為08,朱砂/說頻文化/2014-3-19/NTD250,7.0,(20人评价)
表妹難為09（完）,朱砂/說頻文化/2014-3-19/NTD250,7.0,(21人评价)
奔月（下）,蜀客/浙江人民美术出版社/2016-8/32.00,7.8,(70人评价)
迷行记,施定柔/朝华出版社/2005-11/20.0,8.0,(1464人评价)
让孤静一静,墨然回首/贵州人民出版社/2015-9-1/24.80,6.1,(52人评价)
凤霸天下Ⅰ·玄武篇,流玥/中国友谊出版公司/2007-02/20.0,7.6,(1812人评价)
东风恶,一度君华/江苏凤凰文艺出版社/2016-3/59.80元,7.0,(574人评价)
庆熹纪事,红猪侠/中信出版社/2006-6/25.00元,8.5,(2452人评价)
上古,星零/朝华出版社/2012-6-1/49.80元,7.5,(3767人评价)
渺渺星光2,明月珰/江苏凤凰文艺出版社/2019-1/34.80元,6.5,(177人评价)
时间暂停等到你,黄芒/贵州人民出版社/2016-3/29.80元,8.1,(111人评价)
三生，忘川無殤,九鷺非香、(封面繪者)Moon/明日工作室/2013-12-13/NT$190,7.2,(752人评价)
一寸相思,紫微流年/青岛出版社/2016-8/52.00元,7.5,(1655人评价)
逐风流（上下）,小鱼大心/河南文艺出版社/2009-6/46.80元,7.3,(762人评价)
耳洞,笙离/宁夏人民出版社/2009-1/29.80元,7.2,(2551人评价)
我的名字，你的姓氏,青衫落拓/江苏文艺出版社/2010-1-28/29.80元,7.1,(3370人评价)
危险关系,跳动的火焰、胡小媚/北方妇女儿童出版社/2010-1/26.80元,7.6,(1314人评价)
天上有棵爱情树,桩桩/江苏文艺出版社/2011-7/49.80元,7.2,(585人评价)
听说姻缘命中注定,长着翅膀的大灰狼/国际文化出版公司/2011-7/28.00元,7.4,(2500人评价)
我的波塞冬,缪娟/太白文艺出版社/2009-1/25.00,7.6,(6412人评价)
江湖不挨刀,耳雅/浙江文艺出版社/2012-8/29.80元,7.9,(1222人评价)
柔福帝姬,米兰Lady/新世界出版社/2006-02-01/42.00元,7.8,(3684人评价)
一片冰心在玉壶（上下）,蓝色狮/花城出版社/2009-3/48.00元,7.5,(755人评价)
艳鬼,公子欢喜/龙马文化/2008年7月8日/180,8.4,(4671人评价)
士为知己（全二册）,蓝色狮/江苏文艺出版社/2012-1/49.80元,7.7,(1249人评价)
倾城别传 上、下,李李翔/长征出版社/2009年1月/26.80元,7.0,(268人评价)
在寂与寞的川流上,寐语者/北方联合出版传媒（集团）股份有限公司，万卷出版公司/2010-6/29.00,7.6,(2577人评价)
将军在上（上下）,橘花散里/浙江文艺出版社/2012-9/56.00元,7.2,(1916人评价)
原来爱情这么伤,藤瓜/中国文联出版社/2009/25.00元,6.8,(635人评价)
桃花债,大风刮过/中国文联出版社/2018-3/59.00元,9.0,(35人评价)
绘蓝颜,七钉/珠海出版社/2009-10/29.80元,6.4,(371人评价)
奸相萌女 卷4,姚十六/夢田小筑/2013-9-16/NTD250,8.1,(36人评价)
绾青丝Ⅲ,波波/花山文艺出版社/2007-5/22.00元,7.8,(14988人评价)
凤囚凰（下）,天衣有风/河南文艺出版社/2009-5-1/25.00元,8.0,(12660人评价)
海棠依舊：知否？知否？應是綠肥紅瘦 卷三,關心則亂、呀呀/封面繪圖/三采/2012-5-4,8.5,(1207人评价)
写实派高糖,吕天逸/江苏凤凰文艺出版社/2019-2/36.80元,7.7,(89人评价)
爷是公主，不是郎,则慕/云南人民出版社/2012-7/21.80元,7.4,(677人评价)
约好要一起幸福呢,唐之风/春风文艺出版社/2012-6/21.80元,7.4,(少于10人评价)
圣院,酥油饼/羊城晚报出版社/2016-3-1/CNY59.00,5.3,(81人评价)
藏在时光深处的你,耳东兔子/江苏凤凰文艺出版社/2016-12/26.80元,7.3,(228人评价)
皇后策,谈天音/花山文艺出版社/2009-5/49.80元,7.3,(2306人评价)
迷雾围城（全两册）,匪我思存/新世界出版社/2011-6/39.00元,7.2,(4390人评价)
无羁,墨香铜臭/四川文艺出版社/2018-12/48.00,8.5,(11594人评价)
柔福帝姬,米兰Lady/上海人民出版社/2011-9/48.00元,8.1,(843人评价)
皇宫这档事儿,太微天/江苏文艺/2009-5/23.80元,7.9,(184人评价)
杯具女王,暖宝/春风文艺出版社/2010-11/18.00元,6.3,(560人评价)
解藥,巫哲、秘密報社/平心工作室/2019-2-14/NTD1320,7.8,(876人评价)
颜夕,暗//2006-1/20.00元,7.2,(508人评价)
琉璃美人煞·卷二·無心璇璣,十四十四/木馬文化事業有限公司/2009-4/NT$250,8.3,(661人评价)
第一皇妃（Ⅰ、Ⅱ）,犬犬/朝华出版社/2007-04/35.0,7.5,(3015人评价)
唇诺,冠盖满京华/大道出版社/2007/68.00,8.4,(2182人评价)
步步错,蓝白色/国际文化出版公司/2011-8/28.80元,6.2,(818人评价)
非仙勿扰,那只狐狸/山东画报出版社/2012-2/18.00元,7.5,(157人评价)
宮略,尤四姐/北方妇女儿童出版社/2014-1/59.80元,7.0,(816人评价)
蘇記棺材鋪,青垚/三采文化出版事業/2010-10-14/NT$240,7.9,(633人评价)
会有天使替我爱你,明晓溪/新世界出版社/2005-5/20.00元,6.6,(48025人评价)
全世界只想你来爱我,未再/云南人民出版社/2012-5-1/25.00元,7.1,(310人评价)
逐风流（上下）,小鱼大心/河南文艺出版社/2009-6/46.80元,7.3,(762人评价)
一度君华,一度君华/陕西人民出版社/2012-9/19.80元,7.5,(469人评价)
天霜河白（下）,倾泠月/花山文艺出版社/2009-6/23.5,7.1,(1238人评价)
无处安放的婚姻,姬流觞/江苏文艺出版社/2009年/28.00元,7.1,(856人评价)
迷途,夜安/作家出版社/2007-07/22.8,6.7,(425人评价)
人生若只如初贱,墨青城/中国画报出版社/2010年9月/26.80元,7.0,(702人评价)
碎夢天堂,JoAnnRoss/李沐雨/禾林圖書/1994-2/NT$125,6.9,(984人评价)
浪花一朵朵,酒小七/青岛出版社/2016-1/48.00,6.8,(1586人评价)
无处安放的婚姻,姬流觞/江苏文艺出版社/2009年/28.00元,7.1,(856人评价)
逢青,这碗粥/百花洲文艺出版社/2018-10/69.80元,6.2,(716人评价)
凤霸天下Ⅱ·白虎篇,流玥/中国友谊出版公司/2007-03/20.0,7.8,(1280人评价)
人生若只如初贱,墨青城/中国画报出版社/2010年9月/26.80元,7.0,(702人评价)
折兰勾玉杏向晚,明月别枝/花山文艺出版社/2009年6月/28.00元,6.7,(778人评价)
我和我的经济适用男,人海中/江苏人民/2009-10/22.00元,6.7,(585人评价)
如意蛋,大风刮过/新世界出版社/2012-7/29.00元,7.9,(2740人评价)
一霎风雨我爱过你,睛空蓝兮/江苏文艺出版社/2011-1/25.00元,6.8,(1348人评价)
金樽幽月,水合/珠海出版社/2008-5-1/46.00元,7.1,(505人评价)
一座城，在等你,玖月晞/百花洲文艺出版社/2017-12/49.80元,7.3,(1263人评价)
你的天堂，我的地狱,无处可逃/朝华出版社/2012-4/29.80元,6.5,(699人评价)
后宫·甄嬛传Ⅵ,流潋紫/重庆/2008-12/25.00元,8.1,(6818人评价)
浪花一朵朵,酒小七/青岛出版社/2016-1/48.00,6.8,(1586人评价)
碎夢天堂,JoAnnRoss/李沐雨/禾林圖書/1994-2/NT$125,6.9,(984人评价)
逐风流（上下）,小鱼大心/河南文艺出版社/2009-6/46.80元,7.3,(762人评价)
一把桃木梳,虫鸣/广西师范大学出版社/2009-3/28.00元,6.9,(915人评价)
窈窕庶女,东篱菊隐/晨光出版社/2009-7/28.00元,6.3,(677人评价)
恋爱才是正经事,艾小图,6.2,(343人评价)
BL女的BG爱情,抽风的漠兮,6.5,(585人评价)
后宫·甄嬛传Ⅱ,流潋紫/花山文艺出版社/2007-2/22.00元,8.0,(9044人评价)
后宫·甄嬛传Ⅱ,流潋紫/花山文艺出版社/2007-2/22.00元,8.0,(9044人评价)
老公，天然呆,东奔西顾/漓江出版社/2012-11/20.00元,6.7,(601人评价)
废后将军,一度君华/百花洲文艺出版社/2017-6-15/85.00元（全三册）,6.9,(1000人评价)
假爱真做,蓝白色/国际文化出版公司/2012-9/28.00元,5.8,(278人评价)
杉杉来吃,顾漫/花山文艺出版社/2014-8-1/29.80元,6.4,(1690人评价)
女人现实男人疯狂,桩桩/江苏文艺/2009-11/25.00元,7.2,(1254人评价)
寻爱上弦月（上下）,花清晨/国际文化出版公司/2008-05/49.8,6.6,(882人评价)
不良少夫（上下）,圆不破/江苏文艺出版社/2009-11/49.80元,6.7,(662人评价)
恶作剧天使,俞欢欢/中国友谊出版公司/2006-5/16.80元,7.2,(258人评价)
當年萬里覓封侯 上,漫漫何其多/威向/2019-9/NTD380,7.3,(651人评价)
不双,皎皎/朝华出版社/2008-02/25.00元,6.8,(876人评价)
洞房花烛，隔壁,叶落无心/春风文艺出版社/2012-3/19.80元,6.9,(507人评价)
爱莫能弃,清水慢文/2009-6/26.00元,7.5,(1272人评价)
下一次爱情来的时候,青衫落拓/国际文化出版公司/2009-11/25.00元,7.2,(1230人评价)
地水鸾宫明月姬,桂圆八宝/华文出版社/2008-01/23.00元,6.8,(532人评价)
爱情宝石系列,葡萄/珠海出版社/2008-09/23.8,7.7,(1019人评价)
你听得到,桑玠/江苏文艺出版社/2015-9-1/26.80元,6.0,(267人评价)
春风沉醉,蓝紫青灰/文化艺术出版社/2010-1/25.00元,7.0,(503人评价)
七上九下,安思源/北岳文艺出版社/2009年4月30日/26.80元,6.7,(392人评价)
相亲以后,爱拉囡囡/中国城市出版社/2008-10/26.00,7.2,(3402人评价)
殺破狼,Priest/龍馬文化/2016-9/臺幣1200圓,8.8,(13718人评价)
默读,Priest/百花洲文艺出版社/2018-1/45.00,8.4,(31103人评价)
新欢,晴川/安徽文艺出版社/2008-1-1/19.8,7.4,(172人评价)
请继续，爱我到时光尽头,皎皎/时代文艺出版社/2010-3/26.80元,7.4,(992人评价)
清风入梦·怡殇Ⅱ,凛冽/朝华出版社/2007-08/22.0,8.3,(1100人评价)
泡沫之夏Ⅲ,明晓溪/新世界出版社/2007-5/25.00元,7.0,(22283人评价)
花颜,匪我思存/新世界出版社/2010-12/26.00元,7.0,(1941人评价)
相亲以后,爱拉囡囡/中国城市出版社/2008-10/26.00,7.2,(3402人评价)
花落燕云梦（全2册）,紫百合/朝华出版社/2007-09/42.8,6.7,(936人评价)
杏花春雨落雪时节,桩桩/河南文艺/2008-3/25.00元,6.5,(1142人评价)
最佳辩手,小楼/新世界出版社/2005-5-1/18.00,6.6,(484人评价)
仙女豇豆红,影照/国际文化出版公司/2011-11/26.80元,7.0,(457人评价)
烈火如歌,明晓溪/新世界出版社/2004-07-01/20.00元,7.3,(19024人评价)
有一种爱情叫兄弟Ⅰ,十八子墨/花山文艺出版社/2008-03/26.8,7.9,(1040人评价)
败絮藏金玉(下),酥油饼/湖南美术出版社/2013-11-20/25.00,8.3,(675人评价)
千山记,石头与水/浙江文艺出版社/2018-3-1/CNY39.80,7.8,(256人评价)
落月江湖,蜀客/北岳文艺出版社/2008-12/24.80元,6.8,(483人评价)
歌尽桃花（新版）,靡宝/团结/2011-7/49.80元,7.5,(649人评价)
如果梦醒时还在一起,无处可逃/江苏人民出版社/2009-6/24.00元,6.7,(531人评价)
房客别这样,蓝白色/国际文化出版公司/2012-1/28.00元,6.3,(400人评价)
寻找前世之流年转,Vivibear/新世界出版社/2008-01/22.00,7.2,(2297人评价)
寻找前世之流年转2,Vivibear/新世界出版社/2008-01/25.0,7.3,(1665人评价)
情迷北宋之北落师门,侧侧/木馬文化事業有限公司/2007/55.00元,7.7,(768人评价)
凤还巢,张晚知/河南文艺出版社/2008-01/29.8,6.8,(782人评价)
不能没有你,人海中/沈阳出版社/2011-4-1/26.80元,7.0,(598人评价)
致遥远的你,地黄饮子/中国文联出版公司/2014-8/25.00元,8.0,(876人评价)
君如陌上尘,心雯/长征出版社/2008-09/26.80元,6.5,(808人评价)
因为风就在那里,玖月晞/百花洲文艺出版社/2017-6/45.00元,7.0,(1191人评价)
千金裘,明月珰/江苏凤凰文艺出版社/2015-11/59.80元,6.0,(598人评价)
歌尽桃花（新版）,靡宝/团结/2011-7/49.80元,7.5,(649人评价)
凤歌（上下）,魅冬/北岳文艺出版社/2007-10/36.00元,6.4,(113人评价)
那村那人那傻瓜 上,福寶/藍襪子出版社/2012-5-8/NT$220,8.1,(780人评价)
當年萬里覓封侯  下,漫漫何其多/威向/NTD380,7.5,(391人评价)
如果梦醒时还在一起,无处可逃/江苏人民出版社/2009-6/24.00元,6.7,(531人评价)
锁金瓯,尤四姐/江苏凤凰文艺出版社/2014-7/55元,6.4,(478人评价)
不得往生,阿耐/北岳文艺出版社/2006-10-1/32.00,8.3,(1117人评价)
谁是谁的谁,鲜橙/朝华出版社/2009-4/22.00元,7.0,(1092人评价)
一寸相思,紫微流年/青岛出版社/2016-8/52.00元,7.5,(1655人评价)
浅浅心事,正午月光/百花文艺出版社/2009-5/25.00元,6.4,(332人评价)
一念执着，一念相思,一度君华/中国友谊出版社/2013-7/49.80,7.5,(1464人评价)
浅浅心事,正午月光/百花文艺出版社/2009-5/25.00元,6.4,(332人评价)
泡沫之夏Ⅱ,明晓溪/新世界出版社/2006-8/22.00元,7.0,(22989人评价)
珍禽记,元悟空/中国妇女出版社/2008-10/25.00元,7.2,(160人评价)
全世界都知道我爱你,女王驾到/辽宁教育出版社/2009-3/25.80元,6.9,(620人评价)
放弃你，是我做过最勇敢的事,人间小可/江苏文艺出版社/2008-10/20.00元,6.8,(1233人评价)
不得往生,阿耐/北岳文艺出版社/2006-10-1/32.00,8.3,(1117人评价)
妖孽也成双,东奔西顾/青岛出版社/2012-11/28.00元,7.2,(613人评价)
一寸相思,紫微流年/青岛出版社/2016-8/52.00元,7.5,(1655人评价)
有生之年/狭路相逢,梅子黄时雨/中国华侨出版社/2013-1/28.00元,6.1,(606人评价)
尘尘三昧,无处可逃/五洲传播出版社/2009-8/26.00元,6.9,(776人评价)
月都花落，沧海花开,君子以泽/湖南文艺出版社/2015-4/36.00元,7.3,(2778人评价)
爱你是最好的时光Ⅱ,匪我思存/新世界出版社/2012-3/28.00元,6.2,(2862人评价)
奈何,天籁纸鸢/中国华侨出版社/2012-12/29.80元,7.5,(1100人评价)
莫道未撩君心醉,红九/江苏文艺出版社/2010-8/29.80元,6.6,(420人评价)
我的皇后（下）,谢楼南/2007-8/22.00元,7.6,(694人评价)
凤霸天下Ⅲ·四国篇,流玥/中国友谊出版公司/2007-04/20.0,7.7,(1224人评价)
奔跑的蜗牛,蝶之灵/中国文联出版公司/2009-9/25.00元,7.1,(524人评价)
江湖美男谱,戈鞅/江苏文艺/2009-12/29.80元,6.8,(399人评价)
彩虹的重力,施定柔/沈阳出版社/2011-6/26.00元,7.3,(751人评价)
我的大学生活,Stein/河北人民出版社/2009-3/25.00元,7.5,(409人评价)
寂静深处有人家,Twentine/百花洲文艺出版社/2016-12-1/32.00元,7.4,(1458人评价)
悟空前传--斗佛,路飞的小猪/辛蒂/辽宁教育/2006-5/19.80元,8.2,(380人评价)
和你一起住下去,青衫落拓/百花文艺/2009-10/23.80元,6.9,(820人评价)
彩虹的重力,施定柔/沈阳出版社/2011-6/26.00元,7.3,(751人评价)
一笔多情,Twentine/江苏凤凰文艺出版社/2017-6/32.00元,6.5,(348人评价)
尘世,木梵/河南文艺出版社/2009-3/23.50元,6.4,(651人评价)
你抱着的是只狼,吴小雾/2009-4/29.80元,7.4,(499人评价)
最后的女神(大结局),天籁纸鸢/时代文艺出版社/2011-11/29.80元,7.7,(417人评价)
公主无敌乱长安,桂圆八宝/华文出版社/2008-10/21.00元,6.7,(252人评价)
怨氣撞鈴4·黑蝶,尾魚/聯合文學/2015-4-13/NTD250,8.3,(3910人评价)
你的青梅，她的竹马,青衫落拓/江苏文艺出版社/2011-7/28.00元,6.7,(626人评价)
试问东流水（全二册）,箫楼/朝华出版社/2008-11/51.60元,6.4,(398人评价)
那些回不去的年少时光·终场,桐华/江苏文艺出版社/2010-04/23.80元,8.7,(19492人评价)
江湖美男谱,戈鞅/江苏文艺/2009-12/29.80元,6.8,(399人评价)
天下倾歌（大结局）,千叶飞梦/辽宁教育出版社/2009-6/29.80元,7.0,(369人评价)
御繁华,无处可逃/江苏文艺出版社/2013-11/28.00元,7.1,(1079人评价)
大英雄时代,Priest/北京联合出版公司/2016-2-1/CNY49.80,8.5,(1033人评价)
沉香如屑《上》,蘇寞/藍襪子出版社/喵喵屋出版社/2011-9-20/NT$220,8.2,(2374人评价)
