titles,authors,nums,peoples
山月不知心底事,辛夷坞/朝华出版社/2008-5/39.00,7.6,(20502人评价)
云中歌1,桐华/作家出版社/2007-9/24.80元,8.0,(27158人评价)
小凰不是仙,蜀客/二十一世纪出版社/2011-11/22.00元,6.9,(1662人评价)
重紫（全两册）,蜀客/江苏文艺出版社/2010-12/45.00元,7.1,(4439人评价)
犯罪心理3,长洱/江苏凤凰文艺出版社/2018-10-30/36.8,7.7,(511人评价)
独家占有Ⅰ,丁墨/三秦出版社/2014-3/24.80元,6.8,(1344人评价)
那个不为人知的故事,Twentine/百花洲文艺出版社/2016-9/35元,8.6,(2992人评价)
皇叔,大风刮过/新世界出版社/2012-12/29.80元,8.1,(3671人评价)
解藥,巫哲、秘密報社/平心工作室/2019-2-14/NTD1320,7.8,(876人评价)
三生三世十里桃花,唐七公子/湖南文艺出版社/2012-10/29.80元,7.0,(12563人评价)
桃花债(下),大风刮过/威向/2008-02-20,8.5,(3940人评价)
木槿花西月锦绣1,海飘雪/作家出版社/2007-7/24.80元,7.5,(11703人评价)
裂锦,思存/新世界出版社/2005-8/20.00元,7.5,(16008人评价)
何以笙箫默,顾漫/沈阳出版社/2011-1/25.00元,7.7,(19275人评价)
云中歌2,桐华/作家出版社/2008-2/24.80元,8.2,(14017人评价)
怪你过分美丽,未再/黄山书社/2009-12/26.80元,7.4,(3428人评价)
七星彩,明月珰/江苏凤凰文艺出版社/2017-6/65.00元,6.7,(1053人评价)
双阙,海青拿天鹅/中国画报出版社/2009-1/29.80元,7.5,(2555人评价)
云中歌3,桐华/作家出版社/2008-4/24.80元,8.3,(14780人评价)
蜜汁炖鱿鱼,墨宝非宝/百花洲文艺出版社/2016-1/29.80元,5.8,(7503人评价)
當年萬里覓封侯 上,漫漫何其多/威向/2019-9/NTD380,7.3,(651人评价)
采红,这碗粥/百花洲文艺出版社/2018-12/36.80元,6.2,(539人评价)
良辰讵可待,晴空蓝兮/国际文化出版公司/2012-11/24.80元,7.0,(11933人评价)
大漠谣·终结篇,桐华/河南文艺出版社/2007-1/20.00元,8.1,(10553人评价)
海棠依舊：知否？知否？應是綠肥紅瘦 卷五,關心則亂、呀呀/封面繪圖/三采/2012-9,8.5,(1231人评价)
落花时节又逢君,蜀客/文化艺术出版社/2009-12/28.80元,7.2,(7642人评价)
四月间事,尾鱼/青岛出版社/2017-5/36.80元,7.8,(2694人评价)
琅琊榜,海宴/朝华出版社/2007-12/49.80元,8.5,(28323人评价)
沉香豌,步微澜/2009,6.9,(1098人评价)
如果这一秒，我没遇见你,匪我思存/新世界出版社/2006-9/20.00元,7.3,(10283人评价)
可爱多少钱一斤,栖见/江苏凤凰文艺出版社/2018-10/55.00元,5.5,(221人评价)
寂静深处有人家,Twentine/百花洲文艺出版社/2016-12-1/32.00元,7.4,(1458人评价)
沥川往事,玄隐/黄山书社/2009-4/26.00,7.6,(15971人评价)
我不成仙一断尘绝念,时镜/吉林摄影出版社/2016-11-11/28.8,7.7,(172人评价)
独步天下（上下卷）,李歆/朝华出版社/2007-4/49.80元,8.0,(19995人评价)
天涯客（下册）,Priest/蘊藏文化股份有限公司/2014-3/NTD240,8.1,(2088人评价)
金牌助理,非天夜翔/云南美术出版社/2015-9/39.00元,7.4,(687人评价)
这么远，那么近,晴空蓝兮/国际文化出版公司/2013-1/28.00元,7.0,(6962人评价)
香寒,匪我思存/新世界出版社/2008-1/22.00元,6.9,(7807人评价)
陆遥知他意,竹已/百花洲文艺出版社/2017-11-1/34.8,7.5,(262人评价)
江山为聘,行烟烟/北方妇女儿童出版社/2010-8-1/50.00元,7.5,(4354人评价)
